cent_latitude,cent_longitude,clust_size
40.71750414792552,-73.98944463985316,14152
41.87818451858342,-87.6298407323812,3870
33.44848932124444,-112.07408522796865,2809
33.44713417503578,-111.90306180570192,2332
38.88552643993753,-77.04794336575854,2668
37.68599498516497,-122.40915634232867,1634
37.786119581920374,-122.42394669258125,2131
33.7688007879651,-84.39341032417907,1797
42.3631657036419,-71.0744222329091,1630
47.60635258286537,-122.33197461245149,1494
34.06559235278804,-118.26770152937561,943
33.35689779563837,-111.82227614988186,1263
44.97758463735256,-93.26874681774119,1090
30.267180601880515,-97.7431135222019,1117
36.11665582574089,-115.17134876116803,1117
39.95209051798198,-75.16377866856091,1044
40.76990287240675,-73.83756474236715,733
34.03532071822078,-118.43589411843453,715
32.98101320216173,-117.07839815243393,925
39.73509561708146,-104.98902938362875,807
28.542983242699563,-81.37641706061257,846
32.8031452948143,-96.76968843851836,810
34.127308939108026,-118.3535195425466,554
37.34411135594336,-121.93990615038702,642
25.78656328401723,-80.21530081598368,715
43.04133502703893,-87.91220891874096,660
29.762447937981737,-95.38281812611152,674
-6.2123686171748655,106.84400695008084,623
32.71157265878391,-117.15348324983074,572
37.395072415120175,-122.09262764793698,620
33.673385598257966,-117.86469148414618,621
45.522408876523514,-122.6753644555545,550
33.8107487820893,-117.89179872668004,550
43.653342508759394,-79.38283568368827,494
32.221742899999754,-110.92647900000102,474
33.87152570663623,-118.3683834643021,454
27.949499026168414,-82.46488775654178,428
40.76944057712874,-74.19382843527988,343
39.76815414975381,-86.15770842857172,406
37.80676834640216,-122.2688445468978,442
34.16147295050516,-118.23501961792869,90
39.99456233696231,-83.0000783093675,395
39.287336323907624,-76.61412447300849,374
35.22764780852736,-80.84330124263622,391
39.098509304961,-94.58531551853721,376
40.43843360904226,-79.99648889547872,363
47.64162279445226,-122.1688194794217,335
34.18869001834854,-118.44950558165114,194
40.869185416278995,-73.86039912616319,305
40.71133416666674,-73.59739817428554,366
37.539421462540716,-122.29515860879455,308
33.812454050999946,-118.14273815233359,270
33.55843138144318,-112.21169423642647,296
40.8822954253473,-74.08098238263887,317
35.771363797569464,-78.63743461840254,285
51.502829258188136,-0.1272156905923348,298
38.87813106797141,-77.23250024199255,261
38.64549884202875,-90.2248962626809,269
29.424355647426296,-98.49350498602999,273
34.12846311777793,-118.1247323614815,288
39.00924747678733,-77.08674986541172,206
41.49176972105259,-81.70581745263134,227
44.958271223015814,-93.11785391507902,227
29.964497352589756,-90.07742395936218,232
38.981982500418475,-77.40074340502075,201
26.12487483589744,-80.15837884102535,219
38.58148108082206,-121.49581905570793,219
40.71707068093026,-74.28089030232567,188
37.54291489383875,-77.46815236303291,211
34.19992062205879,-118.5503555259809,149
36.16356060653276,-86.78029362261312,199
36.086611718515655,-86.6489575220723,201
39.12946212319577,-84.50119245206194,196
49.24839570209439,-123.10792629947682,191
40.98340643526318,-73.76089611473691,233
40.014985599999875,-105.27054560000026,188
44.88537630380441,-93.32290884565218,174
40.49465189553062,-74.42248092849165,160
41.599069789772585,-93.64624605852238,190
30.332285898857236,-81.65535302971394,175
41.25228852352947,-95.99995557705867,176
42.05701786035505,-87.80216756982256,167
37.69303254583338,-122.09668487142851,168
33.89604563353298,-118.0630961598805,146
40.60637905061732,-74.13039979012339,141
34.02587616111112,-117.95421241049378,112
33.56277519876538,-117.70977379691337,165
42.890900502500074,-78.87390942562483,145
42.49003381375,-83.1625537687498,144
43.072983137974795,-89.40080473544275,160
40.75914554458599,-111.89266112101942,150
33.57978727804956,-112.3503334546214,228
33.964544358552665,-84.56466252236822,162
43.16217990945959,-77.61269921891918,151
42.961307053424555,-85.66825177191794,143
43.05137222013886,-76.14478059861113,134
42.07501738611119,-88.01872282986125,127
